OR,MI_label,sample_id_within_OR,draw\t_v,12,13,15,16,17,18,19,20,21,22,23
"(1, 11]","3=(9,10]",1,"if i = 3, Y1(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(1, 12]","2=(8,9]",1,"if i = 2, Y2(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(1, 12]","1=(5,7]",2,"if i = 1, Y2(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(1, 13]","6=(12,13]",1,"if i = 6, Y3(t_v)",0,0,1,1,1,1,1,1,1,1,1
"(1, 13]","4=(10,11]",2,"if i = 4, Y3(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(1, 14]","4=(10,11]",1,"if i = 4, Y4(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(1, 14]","6=(12,13]",2,"if i = 6, Y4(t_v)",0,0,1,1,1,1,1,1,1,1,1
"(1, 14]","4=(10,11]",3,"if i = 4, Y4(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(1, 15]","7=(14,15]",1,"if i = 7, Y5(t_v)",0,0,0,1,1,1,1,1,1,1,1
"(1, 15]","5=(11,12]",2,"if i = 5, Y5(t_v)",0,1,1,1,1,1,1,1,1,1,1
"(1, 16]","6=(12,13]",1,"if i = 6, Y6(t_v)",0,0,1,1,1,1,1,1,1,1,1
"(3, 14]","6=(12,13]",1,"if i = 6, Y7(t_v)",0,0,1,1,1,1,1,1,1,1,1
"(3, 15]","4=(10,11]",1,"if i = 4, Y8(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(7, 10]","2=(9,10]",1,"if i = 3, Y9(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(7, 15]","3=(10,11]",1,"if i = 4, Y10(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(8, 10]","2=(9,10]",1,"if i = 3, Y11(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(8, 15]","5=(12,13]",1,"if i = 6, Y12(t_v)",0,0,1,1,1,1,1,1,1,1,1
"(9, 12]","3=(11,12]",1,"if i = 5, Y13(t_v)",0,1,1,1,1,1,1,1,1,1,1
"(9, 12]","2=(10,11]",2,"if i = 4, Y13(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(9, 12]","2=(10,11]",3,"if i = 4, Y13(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(10, 12]","1=(10,11]",1,"if i = 4, Y14(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(10, 12]","1=(10,11]",2,"if i = 4, Y14(t_v)",1,1,1,1,1,1,1,1,1,1,1
"(10, 15]","3=(12,13]",1,"if i = 6, Y15(t_v)",0,0,1,1,1,1,1,1,1,1,1
"(11, 13]","2=(12,13]",1,"if i = 6, Y16(t_v)",0,0,1,1,1,1,1,1,1,1,1
"(11, 13]","2=(12,13]",2,"if i = 6, Y16(t_v)",0,0,1,1,1,1,1,1,1,1,1
"(11, 13]","2=(12,13]",3,"if i = 6, Y16(t_v)",0,0,1,1,1,1,1,1,1,1,1
"(11, 13]","2=(12,13]",4,"if i = 6, Y16(t_v)",0,0,1,1,1,1,1,1,1,1,1
"(13, 16]","1=(14,15]",1,"if i = 7, Y17(t_v)",0,0,0,1,1,1,1,1,1,1,1
"(14, 16]","1=(14,15]",1,"if i = 7, Y18(t_v)",0,0,0,1,1,1,1,1,1,1,1
"(14, 16]","1=(14,15]",2,"if i = 7, Y18(t_v)",0,0,0,1,1,1,1,1,1,1,1
